"dhs_indicator_code","variable","ADM2_EN","naive","naive_var","dir","dir_var","n_obs","degf"
NA,"nt_wm_micro_iron","Bagerhat",0.357142857142857,0.235191637630662,0.368037084548621,0.00790529175445677,8,7
NA,"nt_wm_micro_iron","Bandarban",0.8,0.177777777777778,0.827298038802778,0.0333555280516273,2,1
NA,"nt_wm_micro_iron","Barguna",0.292682926829268,0.21219512195122,0.295922033528977,0.000673576402091719,7,6
NA,"nt_wm_micro_iron","Barisal",0.502645502645503,0.251322751322751,0.480897362054667,0.00184455655429015,26,25
NA,"nt_wm_micro_iron","Bhola",0.591549295774648,0.243332334432125,0.592036765508621,0.00267566396054276,13,12
NA,"nt_wm_micro_iron","Bogra",0.578313253012048,0.246841022627094,0.572890840028897,0.00526067961624964,16,15
NA,"nt_wm_micro_iron","Brahamanbaria",0.272727272727273,0.201398601398601,0.29773013668909,0.00444902869606554,7,6
NA,"nt_wm_micro_iron","Chandpur",0.418918918918919,0.246760459089226,0.423688909973244,0.00446681085909197,8,7
NA,"nt_wm_micro_iron","Chittagong",0.664150943396226,0.223899371069182,0.619443296115126,0.00154675575746759,30,29
NA,"nt_wm_micro_iron","Chuadanga",0.533333333333333,0.257471264367816,0.503292995044505,0.0083287207881016,6,5
NA,"nt_wm_micro_iron","Comilla",0.5390625,0.25043061023622,0.549571185280424,0.00163409466961633,15,14
NA,"nt_wm_micro_iron","Cox's Bazar",0.645161290322581,0.232681121099947,0.625402783245303,0.000501285980793639,5,4
NA,"nt_wm_micro_iron","Dhaka",0.6,0.240845070422535,0.596125956342059,0.00133983535560805,42,41
NA,"nt_wm_micro_iron","Dinajpur",0.58695652173913,0.245102723363593,0.588223627728225,0.00306535860877625,16,15
NA,"nt_wm_micro_iron","Faridpur",0.461538461538462,0.258461538461538,0.463867768963583,0.00354637759539638,4,3
NA,"nt_wm_micro_iron","Feni",0.851851851851852,0.12858141160028,0.868646769125192,0.00421185633603094,5,4
NA,"nt_wm_micro_iron","Gaibandha",0.359223300970874,0.232438606510565,0.359192512382265,0.00295551307255212,12,11
NA,"nt_wm_micro_iron","Gazipur",0.4875,0.253006329113924,0.516646831402546,0.00344881963935092,10,9
NA,"nt_wm_micro_iron","Gopalganj",0.35,0.239473684210526,0.319370523890583,0.00961570640720552,3,2
NA,"nt_wm_micro_iron","Habiganj",0.43801652892562,0.248209366391185,0.416308489385805,0.00136963598864141,15,14
NA,"nt_wm_micro_iron","Jamalpur",0.598360655737705,0.242311339926839,0.596896855354622,0.00413850905544236,16,15
NA,"nt_wm_micro_iron","Jessore",0.494505494505495,0.252747252747253,0.477296763819209,0.00327684157183195,13,12
NA,"nt_wm_micro_iron","Jhalokati",0.511627906976744,0.255813953488372,0.485674614197602,0.00374533050490469,6,5
NA,"nt_wm_micro_iron","Jhenaidah",0.386666666666667,0.24036036036036,0.377071228793717,0.00364700165789438,10,9
NA,"nt_wm_micro_iron","Joypurhat",0.555555555555556,0.261437908496732,0.600937718264362,0.00592031927723199,4,3
NA,"nt_wm_micro_iron","Khagrachhari",0.818181818181818,0.155844155844156,0.812187446796913,0.000119550051051123,3,2
NA,"nt_wm_micro_iron","Khulna",0.684684684684685,0.217854217854218,0.705973637937265,0.00310574613245915,18,17
NA,"nt_wm_micro_iron","Kishoreganj",0.439393939393939,0.25011655011655,0.439806525800799,0.00547188243665407,7,6
NA,"nt_wm_micro_iron","Kurigram",0.444444444444444,0.249687890137328,0.436494093404026,0.00321026923001863,12,11
NA,"nt_wm_micro_iron","Kushtia",0.492957746478873,0.253521126760563,0.487985313002079,0.00485320878249913,10,9
NA,"nt_wm_micro_iron","Lakshmipur",0.566666666666667,0.249717514124294,0.551298174768649,0.000865204524253999,6,5
NA,"nt_wm_micro_iron","Lalmonirhat",0.552631578947368,0.253911806543385,0.556364317429321,0.00484469117235541,5,4
NA,"nt_wm_micro_iron","Madaripur",0.37037037037037,0.242165242165242,0.389796639248744,0.00392369071784975,3,2
NA,"nt_wm_micro_iron","Magura",0.394736842105263,0.245376955903272,0.380177572986739,0.002357440499077,5,4
NA,"nt_wm_micro_iron","Manikganj",0.375,0.244565217391304,0.422648645284032,0.02002549217428,4,3
NA,"nt_wm_micro_iron","Maulvibazar",0.368421052631579,0.234746157428971,0.36749263181453,0.00133403645004697,12,11
NA,"nt_wm_micro_iron","Meherpur",0.4,0.252631578947368,0.390959622953801,0.0145620096076501,3,2
NA,"nt_wm_micro_iron","Munshiganj",0.444444444444444,0.256410256410256,0.447429181744659,0.0103586694504805,4,3
NA,"nt_wm_micro_iron","Mymensingh",0.533123028391167,0.249690532284471,0.52019930171173,0.000812327272040349,35,34
NA,"nt_wm_micro_iron","Naogaon",0.365079365079365,0.235535074244752,0.348597299777165,0.00531645994959909,11,10
NA,"nt_wm_micro_iron","Narail",0.409090909090909,0.253246753246753,0.416777069906353,0.0126771344562153,3,2
NA,"nt_wm_micro_iron","Narayanganj",0.523809523809524,0.253456221198157,0.578215350030477,0.00850955571524356,8,7
NA,"nt_wm_micro_iron","Narsingdi",0.666666666666667,0.230769230769231,0.679420097686388,0.00325656960452694,4,3
NA,"nt_wm_micro_iron","Natore",0.666666666666667,0.228571428571429,0.661359090804424,0.00840606004413655,7,6
NA,"nt_wm_micro_iron","Nawabganj",0.375,0.23936170212766,0.374715081448095,0.00139418645310001,7,6
NA,"nt_wm_micro_iron","Netrakona",0.512396694214876,0.251928374655647,0.524765478909634,0.00553182647240332,15,14
NA,"nt_wm_micro_iron","Nilphamari",0.591549295774648,0.245070422535211,0.572166418413139,0.00679339758257063,8,7
NA,"nt_wm_micro_iron","Noakhali",0.602040816326531,0.242057647801389,0.595840641448498,0.00542421597541249,8,7
NA,"nt_wm_micro_iron","Pabna",0.375,0.237676056338028,0.367950645377006,0.00311779331556232,10,9
NA,"nt_wm_micro_iron","Panchagarh",0.529411764705882,0.25668449197861,0.466150157375824,0.0102877461389661,5,4
NA,"nt_wm_micro_iron","Patuakhali",0.461538461538462,0.251748251748252,0.470638612770592,0.00483732859417617,10,9
NA,"nt_wm_micro_iron","Pirojpur",0.614035087719298,0.241228070175439,0.628396178637054,0.00364360315639923,9,8
NA,"nt_wm_micro_iron","Rajbari",0.5,0.266666666666667,0.499627455861976,0.00182486780391832,4,3
NA,"nt_wm_micro_iron","Rajshahi",0.552631578947368,0.249417792268281,0.498280214966011,0.00575826485609632,20,19
NA,"nt_wm_micro_iron","Rangamati",0.470588235294118,0.25668449197861,0.504743886774896,0.0054499217327633,5,4
NA,"nt_wm_micro_iron","Rangpur",0.598290598290598,0.242410845859122,0.603015560104296,0.00294767719993098,20,19
NA,"nt_wm_micro_iron","Satkhira",0.555555555555556,0.250391236306729,0.548180695986198,0.00347159012271734,10,9
NA,"nt_wm_micro_iron","Shariatpur",0.44,0.256666666666667,0.447515306990195,0.000684220441731228,3,2
